Brand,product,Price,Rating Score,Rating Count
ACER,"Swift 3 AMD Ryzen 5-5500U 8GB 512GB SSD DOS 14"" FHD Gümüş Dizüstü Bilgisayar NX.AB1EY.002",12.749 TL,4.5,238
HP,A0BH8EA 15s-fq5026nt i5-1235U 16G 512G 15.6 FHD Freedos,16.729 TL,4.4,24
Apple,"Macbook Air M3 16gb 256gb Ssd Macos 13"" Taşınabilir Bilgisayar Uzay Grisi Mc8g4tu/a",45.499 TL,,
HP,250 G9 9M3G5AT I5-1235U 8GB 512GB SSD FHD 15.6'' FDOS NOTEBOOK,"14.589,90 TL",4.5,15
ASUS,TUF Gaming A15 FA506NC-HN048 Ryzen 5 7535HS 8GB RAM 512GB SSD 4GB RTX3050 15.6 inç FHD 144Hz,"29.282,67 TL",4.9,11
ACER,Aspire 3 A315-510P-38X0İntel İ3-N305 12.Nesil 8 GB DDR5 RAM 256 GB SSD Freedos 15.6” FHD Laptop,"9.494,26 TL",5.0,1
LENOVO,LOQ 12.Nesil Core i5 12450H-RTX3050 6Gb-8Gb-512Gb Ssd-15.6-W11 82XV00SWTX,28.699 TL,4.4,23
ASUS,"TUF Gaming A16 FA617NSR-N3054 Ryzen 7 7435HS 16GB 512GB SSD 8GB RX7600S 16"" FHD+ 165Hz",33.479 TL,5.0,1
Apple,"Macbook Pro M4 16gb 512gb Ssd Macos 14"" Taşınabilir Bilgisayar Uzay Siyahı Mw2u3tu/a",73.999 TL,5.0,3
HP,"255 G9 Ryzen 5 5625U 16GB 512GB SSD 15.6"" FHD Win11 Bilgisayar 9M3G7AT - Wz Çanta WZ3",13.699 TL,3.8,6
MSI,"Thin 15 B12ucx-2634xtr Intel Core I5 12450h 8gb 512gb Ssd Rtx2050 15.6"" Freedos",22.889 TL,,
ACER,"Aspire 3 A315-510p-39s1 Intel I3-n305 Işlemci 8gb Ram 256ssd Uma15,6” Fhd Ekran W11 - Nx.kdhey.008",10.499 TL,4.1,14
CASPER,Excalibur G770.1245-DFJ0X-B i5-12450H 32GB RAM 1TB NVMe SSD GEN4 4GB RTX3050 DOS GAMING LAPTOP,32.699 TL,4.5,370
ACER,Aspire 3 A315-59g-522b Intel i5-1235u 8gb Ram 512gb Ssd 2gb Geforce Mx550 15.6'' Fhd W11 Notebo,16.999 TL,4.1,15
LENOVO,"Legion Pro 7 Intel Core i9-14900HX 32GB 1TB SSD 16"" WQXGA RTX4090 16GB DOS Gaming Laptop 83DE002XTR",154.999 TL,,
